flight_id,sequence,timestamp,latitude,longitude,kts,mph,feet,rate,phase,distance_km,cum_distance
AXM706_20250317_1,54,Wed 12:42:58 PM,2.2362,101.7743,268.0,308.0,7625.0,-1250.0,descent,4.320242584327515,280.73111160053685
AXM706_20250317_1,55,Wed 12:43:28 PM,2.2472,101.7399,267.0,307.0,6725.0,-2032.0,descent,4.017619740584666,284.7487313411215
AXM706_20250317_1,56,Wed 12:44:00 PM,2.2597,101.7021,270.0,311.0,5525.0,-2221.0,descent,4.428897589167128,289.1776289302887
AXM706_20250317_1,57,Wed 12:44:20 PM,2.2762,101.6832,270.0,311.0,4800.0,-1855.0,descent,2.791661755352548,291.9692906856412
AXM706_20250317_1,58,Wed 12:44:38 PM,2.2973,101.6749,267.0,307.0,4350.0,-1014.0,descent,2.523772712652336,294.49306339829354
AXM706_20250317_1,59,Wed 12:44:57 PM,2.3197,101.6808,267.0,307.0,4175.0,-434.0,descent,2.5784772935634384,297.07154069185697
AXM706_20250317_1,60,Wed 12:45:16 PM,2.3383,101.6931,267.0,307.0,4075.0,-429.0,descent,2.481707471533074,299.55324816339004
AXM706_20250317_1,61,Wed 12:45:32 PM,2.3552,101.704,269.0,310.0,3925.0,-516.0,descent,2.238111673539575,301.7913598369296
AXM706_20250317_1,62,Wed 12:45:48 PM,2.3717,101.7145,267.0,307.0,3800.0,-455.0,descent,2.1766154498441344,303.9679752867737
AXM706_20250317_1,63,Wed 12:46:05 PM,2.3898,101.726,265.0,305.0,3675.0,-500.0,descent,2.3865877540965297,306.35456304087023
AXM706_20250317_1,64,Wed 12:46:21 PM,2.4071,101.7371,264.0,304.0,3525.0,-638.0,descent,2.2875722708571353,308.6421353117274
AXM706_20250317_1,65,Wed 12:46:52 PM,2.4392,101.7577,262.0,302.0,3175.0,-862.0,descent,4.244784085546721,312.8869193972741
AXM706_20250317_1,66,Wed 12:47:08 PM,2.4546,101.7677,260.0,299.0,2850.0,-955.0,descent,2.043492536064981,314.9304119333391
AXM706_20250317_1,67,Wed 12:47:25 PM,2.4725,101.7791,254.0,292.0,2650.0,-429.0,descent,2.3617899961090014,317.2922019294481
AXM706_20250317_1,68,Wed 12:47:43 PM,2.4892,101.79,241.0,277.0,2600.0,-86.0,cruise,2.2193642953143136,319.5115662247624
AXM706_20250317_1,69,Wed 12:48:00 PM,2.5037,101.7994,217.0,250.0,2600.0,43.0,cruise,1.9231037750413305,321.43466999980376
AXM706_20250317_1,70,Wed 12:48:18 PM,2.5189,101.809,195.0,224.0,2625.0,38.0,cruise,2.0007334966489974,323.43540349645275
AXM706_20250317_1,71,Wed 12:48:39 PM,2.5369,101.8096,200.0,230.0,2625.0,-28.0,cruise,2.0048707111833735,325.44027420763615
AXM706_20250317_1,72,Wed 12:49:11 PM,2.562,101.7955,185.0,213.0,2600.0,,unknown,3.204049423767598,328.6443236314037
AXM706_20250317_1,73,Wed 12:49:31 PM,2.5756,101.7864,171.0,197.0,2625.0,,unknown,1.8210358842138779,330.4653595156176
AXM706_20250317_1,74,Wed 12:50:01 PM,2.5957,101.773,172.0,198.0,2600.0,-360.0,descent,2.6883301104230304,333.1536896260406
AXM706_20250317_1,75,Wed 12:50:21 PM,2.6091,101.7641,169.0,194.0,2325.0,-833.0,descent,1.7901621812857202,334.9438518073263
AXM706_20250317_1,76,Wed 12:50:37 PM,2.6192,101.7573,165.0,190.0,2100.0,-771.0,descent,1.3549680799710087,336.2988198872973
AXM706_20250317_1,77,Wed 12:50:56 PM,2.6307,101.7495,153.0,176.0,1875.0,-735.0,descent,1.5463539353609228,337.84517382265824
AXM706_20250317_1,78,Wed 12:51:26 PM,2.6476,101.7383,147.0,169.0,1500.0,-750.0,descent,2.2562077099501012,340.10138153260834
AXM706_20250317_1,79,Wed 12:51:56 PM,2.6653,101.7263,145.0,167.0,1125.0,-750.0,descent,2.37969411576187,342.4810756483702
AXM706_20250317_1,80,Wed 12:52:14 PM,2.6751,101.7198,144.0,166.0,900.0,-686.0,descent,1.308651550400678,343.7897271987709
AXM706_20250317_1,81,Wed 12:52:31 PM,2.6843,101.7137,146.0,168.0,725.0,-708.0,descent,1.2284018857556682,345.01812908452655
AXM706_20250317_1,82,Wed 12:52:50 PM,2.6957,101.706,148.0,170.0,475.0,-789.0,descent,1.5308780993758726,346.5490071839024
AXM706_20250317_2,1,Tue 12:13:49 PM,1.357,103.9969,163.0,188.0,400.0,,unknown,0.0,0.0
AXM706_20250317_2,2,Tue 12:14:05 PM,1.3685,104.0017,173.0,199.0,950.0,1875.0,climb,1.3871600276192568,1.3871600276192568
AXM706_20250317_2,3,Tue 12:14:21 PM,1.381,104.007,193.0,222.0,1400.0,1781.0,climb,1.511345540129347,2.898505567748604
AXM706_20250317_2,4,Tue 12:14:37 PM,1.3951,104.013,215.0,247.0,1900.0,2906.0,climb,1.7057357697292461,4.60424133747785
AXM706_20250317_2,5,Tue 12:14:53 PM,1.4098,104.0192,213.0,245.0,2950.0,3841.0,climb,1.7759176952878872,6.380159032765738
AXM706_20250317_2,6,Tue 12:15:18 PM,1.433,104.0291,220.0,253.0,4525.0,3464.0,climb,2.807800032464937,9.187959065230675
AXM706_20250317_2,7,Tue 12:15:48 PM,1.4611,104.0409,233.0,268.0,6125.0,2688.0,climb,3.392538817513262,12.580497882743938
AXM706_20250317_2,8,Tue 12:16:06 PM,1.4822,104.045,269.0,310.0,6675.0,2042.0,climb,2.3927553691140635,14.973253251858
AXM706_20250317_2,9,Tue 12:16:24 PM,1.5018,104.0365,291.0,335.0,7350.0,3086.0,climb,2.378083835553163,17.351337087411164
AXM706_20250317_2,10,Tue 12:16:41 PM,1.5151,104.0164,295.0,339.0,8475.0,4083.0,climb,2.682367511590227,20.03370459900139
AXM706_20250317_2,11,Tue 12:17:00 PM,1.5241,103.9909,292.0,336.0,9800.0,2883.0,climb,3.009327785648986,23.043032384650374
AXM706_20250317_2,12,Tue 12:17:45 PM,1.5494,103.9324,328.0,377.0,11550.0,2571.0,climb,7.092960636321275,30.13599302097165
AXM706_20250317_2,13,Tue 12:18:17 PM,1.57,103.8876,337.0,388.0,13100.0,2310.0,climb,5.487402380290966,35.62339540126261
AXM706_20250317_2,14,Tue 12:18:48 PM,1.5907,103.8426,339.0,390.0,13975.0,1071.0,climb,5.512228257813092,41.135623659075705
AXM706_20250317_2,15,Tue 12:19:20 PM,1.6122,103.7962,343.0,395.0,14225.0,1331.0,climb,5.690952148835892,46.826575807911595
AXM706_20250317_2,16,Tue 12:19:50 PM,1.6327,103.752,355.0,409.0,15350.0,2287.0,climb,5.42198574111492,52.24856154902652
AXM706_20250317_2,17,Tue 12:20:21 PM,1.654,103.7064,368.0,423.0,16550.0,2262.0,climb,5.600754308175459,57.84931585720198
AXM706_20250317_2,18,Tue 12:20:51 PM,1.6747,103.6615,379.0,436.0,17650.0,2375.0,climb,5.501931893932162,63.35124775113414
AXM706_20250317_2,19,Tue 12:21:21 PM,1.6975,103.6123,386.0,444.0,18925.0,2700.0,climb,6.034279127172802,69.38552687830693
AXM706_20250317_2,20,Tue 12:21:51 PM,1.7197,103.564,383.0,441.0,20350.0,2680.0,climb,5.915303270173597,75.30083014848053
AXM706_20250317_2,21,Tue 12:22:22 PM,1.7436,103.5123,380.0,437.0,21650.0,1648.0,climb,6.338034729904474,81.63886487838501
AXM706_20250317_2,22,Tue 12:22:52 PM,1.7651,103.4658,384.0,442.0,22025.0,339.0,climb,5.700680293899965,87.33954517228497
AXM706_20250317_2,23,Tue 12:23:24 PM,1.7902,103.4116,413.0,475.0,22000.0,-24.0,cruise,6.646450149711954,93.98599532199692
AXM706_20250317_2,24,Tue 12:23:54 PM,1.8146,103.3587,439.0,505.0,22000.0,,unknown,6.482384527339983,100.46837984933691
AXM706_20250317_2,25,Tue 12:24:10 PM,1.8273,103.3281,442.0,509.0,22000.0,,unknown,3.686520973307546,104.15490082264446
AXM706_20250317_2,26,Tue 12:24:49 PM,1.8471,103.2523,440.0,506.0,22000.0,,unknown,8.716939378761818,112.87184020140629
AXM706_20250317_2,27,Tue 12:25:27 PM,1.8646,103.1766,436.0,502.0,22000.0,,unknown,8.644822740925997,121.51666294233229
AXM706_20250317_2,28,Tue 12:25:57 PM,1.8783,103.1166,437.0,503.0,22000.0,,unknown,6.847603018478291,128.36426596081057
AXM706_20250317_2,29,Tue 12:26:28 PM,1.892,103.0592,409.0,471.0,22000.0,,unknown,6.565859520911329,134.9301254817219
