Time (+08),Latitude,Longitude,Course,kts,mph,feet,Rate,Reporting Facility
Thu 12:18:00 PM    Left Gate (SIN) @ Thursday 12:18:00 PM +08,,,,,,,, Airline
Taxi Time: 10 minutes,,,,,,,,
Thu 12:28:03 PM    Departure (SIN) @ Thursday 12:28:03 PM +08,,,,,,,, FlightAware ADS-B (XSP / WSSL)
Wed 12:52:50 PM,2.6957,101.706,↖ 326°,148,170,475,-789, FlightAware ADS-B (KUL / WMKK)
Wed 12:53:42 PM    Arrival (KUL) @ Wednesday 12:53:42 PM +08,,,,,,,, FlightAware
Taxi Time: 4 minutes,,,,,,,,
Wed 12:58:00 PM    Gate Arrival (KUL) @ Wednesday 12:58:00 PM +08,,,,,,,, Airline
,,,,,,,,
Tue 12:05:00 PM    Left Gate (SIN) @ Tuesday 12:05:00 PM +08,,,,,,,, Airline
Taxi Time: 8 minutes,,,,,,,,
Tue 12:13:49 PM    Departure (SIN) @ Tuesday 12:13:49 PM +08,,,,,,,, FlightAware ADS-B (XSP / WSSL)
Tue 12:13:49 PM,1.357,103.9969,↗ 23°,163,188,400,, FlightAware ADS-B (XSP / WSSL)
Tue 12:14:05 PM,1.3685,104.0017,↗ 23°,173,199,950,1875, FlightAware ADS-B (WSAG)
Tue 12:14:21 PM,1.381,104.007,↗ 23°,193,222,1400,1781, FlightAware ADS-B (QPG / WSAP)
Tue 12:14:37 PM,1.3951,104.013,↗ 23°,215,247,1900,2906, FlightAware ADS-B (QPG / WSAP)
Tue 12:14:53 PM,1.4098,104.0192,↗ 23°,213,245,2950,3841, FlightAware ADS-B (SIN / WSSS)
Tue 12:15:18 PM,1.433,104.0291,↗ 23°,220,253,4525,3464, FlightAware ADS-B (QPG / WSAP)
Tue 12:15:48 PM,1.4611,104.0409,↗ 23°,233,268,6125,2688, FlightAware ADS-B (XSP / WSSL)
Tue 12:16:06 PM,1.4822,104.045,↑ 356°,269,310,6675,2042, FlightAware ADS-B (WSAC)
Tue 12:16:24 PM,1.5018,104.0365,↖ 320°,291,335,7350,3086, FlightAware ADS-B (WSAG)
Tue 12:16:41 PM,1.5151,104.0164,← 294°,295,339,8475,4083, FlightAware ADS-B (QPG / WSAP)
Tue 12:17:00 PM,1.5241,103.9909,← 290°,292,336,9800,2883, FlightAware ADS-B (WSAC)
Tue 12:17:45 PM,1.5494,103.9324,← 295°,328,377,11550,2571, FlightAware ADS-B (SIN / WSSS)
Tue 12:18:17 PM,1.57,103.8876,← 295°,337,388,13100,2310, FlightAware ADS-B (TGA / WSAT)
Tue 12:18:48 PM,1.5907,103.8426,← 295°,339,390,13975,1071, FlightAware ADS-B (XSP / WSSL)
Tue 12:19:20 PM,1.6122,103.7962,← 295°,343,395,14225,1331, FlightAware ADS-B (XSP / WSSL)
Tue 12:19:50 PM,1.6327,103.752,← 295°,355,409,15350,2287, FlightAware ADS-B (JHB / WMKJ)
Tue 12:20:21 PM,1.654,103.7064,← 295°,368,423,16550,2262, FlightAware ADS-B (XSP / WSSL)
Tue 12:20:51 PM,1.6747,103.6615,← 295°,379,436,17650,2375, FlightAware ADS-B (TGA / WSAT)
Tue 12:21:21 PM,1.6975,103.6123,← 295°,386,444,18925,2700, FlightAware ADS-B (WSAC)
